ticker,rsi_max,macd,stop_loss_pct,take_profit_pct,trades,wins,win_rate,avg_pnl_pct,total_pnl_pct,total_dollar_pnl,avg_hold_bars,best_trade,worst_trade,max_consec_losses
AMC,75,8/21/9,0.5,2.0,440,106,24.1,-0.038,-16.8,-1679.98,2.8,4.559,-2.913,27
AMC,75,8/21/9,1.0,4.0,436,106,24.3,-0.046,-20.076,-2007.56,2.9,4.559,-2.913,27
AMC,75,8/21/9,2.0,4.0,436,106,24.3,-0.046,-20.076,-2007.56,2.9,4.559,-2.913,27
AMC,75,12/26/9,1.0,2.0,401,91,22.7,-0.05,-20.187,-2018.74,3.0,4.559,-2.913,29
AMC,75,12/26/9,2.0,2.0,401,91,22.7,-0.05,-20.187,-2018.74,3.0,4.559,-2.913,29
AMC,75,8/21/9,0.5,4.0,438,106,24.2,-0.047,-20.401,-2040.09,2.8,4.559,-2.913,27
AMC,75,10/21/9,1.0,2.0,426,98,23.0,-0.049,-20.763,-2076.33,2.9,4.559,-2.913,50
AMC,75,10/21/9,2.0,2.0,426,98,23.0,-0.049,-20.763,-2076.33,2.9,4.559,-2.913,50
AMC,75,12/26/9,0.5,2.0,403,91,22.6,-0.052,-21.053,-2105.27,3.0,4.559,-2.913,29
AMC,75,10/21/9,0.5,2.0,427,98,23.0,-0.049,-21.085,-2108.5,2.9,4.559,-2.913,50
AMC,70,8/21/9,1.0,2.0,402,94,23.4,-0.054,-21.856,-2185.55,2.9,4.377,-2.913,27
AMC,70,8/21/9,2.0,2.0,402,94,23.4,-0.054,-21.856,-2185.55,2.9,4.377,-2.913,27
AMC,75,8/21/9,1.0,6.0,436,106,24.3,-0.051,-22.171,-2217.05,2.9,4.714,-2.913,27
AMC,75,8/21/9,2.0,6.0,436,106,24.3,-0.051,-22.171,-2217.05,2.9,4.714,-2.913,27
AMC,70,8/21/9,0.5,2.0,404,94,23.3,-0.055,-22.181,-2218.08,2.9,4.377,-2.913,27
AMC,75,8/21/9,0.5,6.0,438,106,24.2,-0.051,-22.496,-2249.58,2.8,4.714,-2.913,27
AMC,70,8/21/9,1.0,6.0,400,94,23.5,-0.058,-23.307,-2330.72,2.9,4.714,-2.913,27
AMC,70,8/21/9,2.0,6.0,400,94,23.5,-0.058,-23.307,-2330.72,2.9,4.714,-2.913,27
