symbol,phase,buy_time,sell_time,buy_price,sell_price,pnl_pct,hold_bars,reason,win
IONZ,validate,2026-06-08T14:05:00Z,2026-06-08T14:21:00Z,2.34,2.3751,1.5,4,take_profit,True
IONZ,validate,2026-06-09T18:10:00Z,2026-06-09T18:19:00Z,2.57,2.5572,-0.5,3,stop_loss,False
IONZ,validate,2026-06-10T12:53:00Z,2026-06-10T13:05:00Z,2.58,2.6187,1.5,7,take_profit,True
IONZ,validate,2026-06-10T14:13:00Z,2026-06-10T14:18:00Z,2.3,2.3345,1.5,3,take_profit,True
IONZ,validate,2026-06-10T15:08:00Z,2026-06-10T15:13:00Z,2.43,2.42,-0.4115,3,macd_reversal,False
IONZ,validate,2026-06-11T13:28:00Z,2026-06-11T13:30:00Z,2.55,2.5882,1.5,2,take_profit,True
IONZ,validate,2026-06-11T14:12:00Z,2026-06-11T14:15:00Z,2.64,2.64,0.0,2,macd_reversal,False
IONZ,validate,2026-06-11T14:17:00Z,2026-06-11T14:18:00Z,2.69,2.71,0.7435,1,rsi_overbought,True
IONZ,validate,2026-06-11T15:53:00Z,2026-06-11T16:01:00Z,2.6,2.587,-0.5,8,stop_loss,False
IONZ,validate,2026-06-11T17:21:00Z,2026-06-11T17:25:00Z,2.65,2.6367,-0.5,4,stop_loss,False
IONZ,validate,2026-06-01T15:20:00Z,2026-06-01T15:33:00Z,1.87,1.8419,-1.5,3,stop_loss,False
IONZ,validate,2026-06-03T14:17:00Z,2026-06-03T14:22:00Z,1.87,1.8981,1.5,3,take_profit,True
IONZ,validate,2026-06-04T15:04:00Z,2026-06-04T15:10:00Z,2.01,1.9798,-1.5,3,stop_loss,False
